"Name","API Name","Instance Memory","vCPUs","GiB of Memory per vCPU","Instance Storage","Network Performance","Linux On Demand cost"
"R5N Quadruple Extra Large","r5n.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","EBS only","Up to 25 Gigabit","$1.1920 hourly"
"R5B Quadruple Extra Large","r5b.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$1.1920 hourly"
"G4DN Quadruple Extra Large","g4dn.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","225 GB                 NVMe SSD","Up to 25 Gigabit","$1.2040 hourly"
"R6ID Quadruple Extra Large","r6id.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","950 GB                 NVMe SSD","Up to 12.5 Gigabit","$1.2096 hourly"
"G5 Graphics and Machine Learning GPU Double Extra Large","g5.2xlarge","32.0 GiB","8 vCPUs","4.00 GiB/vCPU","450 GB                 NVMe SSD","Up to 10 Gigabit","$1.2120 hourly"
"C6A Eight Extra Large","c6a.8xlarge","64.0 GiB","32 vCPUs","2.00 GiB/vCPU","EBS only","12.5 Gigabit","$1.2240 hourly"
"C6GD Eight Extra Large","c6gd.8xlarge","64.0 GiB","32 vCPUs","2.00 GiB/vCPU","1900 GB                 NVMe SSD","12 Gigabit","$1.2288 hourly"
"C5A Eight Extra Large","c5a.8xlarge","64.0 GiB","32 vCPUs","2.00 GiB/vCPU","EBS only","10 Gigabit","$1.2320 hourly"
"M6G Eight Extra Large","m6g.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","EBS only","12 Gigabit","$1.2320 hourly"
"I4G Quadruple Extra Large","i4g.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","3750 GB                 NVMe SSD","Up to 25 Gigabit","$1.2355 hourly"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","16 vCPUs","7.62 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","Up to 10 Gigabit","$1.2480 hourly"
"M6IDN Quadruple Extra Large","m6idn.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","950 GB                 NVMe SSD","Up to 50 Gigabit","$1.2730 hourly"
"VT1 6xlarge","vt1.6xlarge","48.0 GiB","24 vCPUs","2.00 GiB/vCPU","EBS only","6.25 Gigabit","$1.3000 hourly"
"M7G Eight Extra Large","m7g.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","EBS only","15 Gigabit","$1.3056 hourly"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","16 vCPUs","7.62 GiB/vCPU","320 GB                 SSD","High","$1.3300 hourly"
"R5DN Quadruple Extra Large","r5dn.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","600 GB                 (2 * 300 GB NVMe SSD)","Up to 25 Gigabit","$1.3360 hourly"
"X2GD Quadruple Extra Large","x2gd.4xlarge","256.0 GiB","16 vCPUs","16.00 GiB/vCPU","950 GB                 NVMe SSD","Up to 10 Gigabit","$1.3360 hourly"
"TRN1 Double Extra Large","trn1.2xlarge","32.0 GiB","8 vCPUs","4.00 GiB/vCPU","474 GB                 NVMe SSD","Up to 12.5 Gigabit","$1.3438 hourly"
"I3EN 3xlarge","i3en.3xlarge","96.0 GiB","12 vCPUs","8.00 GiB/vCPU","7500 GB                 NVMe SSD","Up to 25 Gigabit","$1.3560 hourly"
"C6I Eight Extra Large","c6i.8xlarge","64.0 GiB","32 vCPUs","2.00 GiB/vCPU","EBS only","12.5 Gigabit","$1.3600 hourly"
"G5G Eight Extra Large","g5g.8xlarge","64.0 GiB","32 vCPUs","2.00 GiB/vCPU","EBS only","12 Gigabit","$1.3720 hourly"
"I4I Quadruple Extra Large","i4i.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","3750 GB                 NVMe SSD","Up to 25 Gigabit","$1.3730 hourly"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$1.3760 hourly"
"C5AD Eight Extra Large","c5ad.8xlarge","64.0 GiB","32 vCPUs","2.00 GiB/vCPU","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$1.3760 hourly"
